Run 1:Time(s),Run 1:Position(m),Run 1:Velocity(m/s),Run 1:Acceleration(m/s^2),Run 2:Time(s),Run 2:Position(m),Run 2:Velocity(m/s),Run 2:Acceleration(m/s^2),Run 3:Time(s),Run 3:Position(m),Run 3:Velocity(m/s),Run 3:Acceleration(m/s^2),Run 4:Time(s),Run 4:Position(m),Run 4:Velocity(m/s),Run 4:Acceleration(m/s^2),Run 5:Time(s),Run 5:Position(m),Run 5:Velocity(m/s),Run 5:Acceleration(m/s^2)
0,0.16875600000000002,0.058309999999999473,-0.42404962962962145,0,0.16807,0.054498888888888465,-0.89912580246912854,0,0.170128,0.024009999999999806,0.33813024691358712,0,0.17630200000000001,-0.037348888888888931,-1.0228598765432151,0,0.17150000000000001,-0.0068599999999998905,0.0081303703703630419
0.024999999999999998,0.1706425,0.047829444444444154,-0.34865314814813991,0.024999999999999998,0.16995649999999998,0.030393611111110875,-0.76632975308641249,0.024999999999999998,0.17029949999999999,0.038015833333333325,0.041075308641980619,0.024999999999999998,0.17681650000000002,-0.082986944444444613,-0.075375308641979874,0.024999999999999998,0.17132850000000002,-0.0068600000000001377,0.027757592592588587
0.049999999999999996,0.17081399999999999,0.046533666666666675,-0.38758999999999383,0.049999999999999996,0.16995649999999998,0.0090323333333332898,-0.50071648148147485,0.049999999999999996,0.1723575,0.036015000000000165,-0.34382574074073885,0.049999999999999996,0.17047100000000001,-0.064598333333333646,0.93746981481481184,0.049999999999999996,0.171157,-0.0064026666666668341,0.067964814814814631
0.074999999999999997,0.17321500000000001,0.03677722222222235,-0.67685333333333253,0.074999999999999997,0.16995649999999998,0.0032394444444445235,-0.17152117283950011,0.074999999999999997,0.17270050000000001,0.014101111111111245,-0.49533858024691652,0.074999999999999997,0.1723575,-0.005145000000000381,0.91816018518518627,0.074999999999999997,0.17098550000000001,-0.0045733333333334665,0.13199148148148412
0.099999999999999992,0.17321500000000001,0.006669444444444437,-0.71682765432099049,0.099999999999999992,0.16995649999999998,0.0041922222222225292,0.031187592592596042,0.099999999999999992,0.17270050000000001,0.0030488888888888545,-0.34882253086420284,0.099999999999999992,0.17201449999999999,-0.0049544444444446821,0.43245524691358511,0.099999999999999992,0.17081399999999999,0.0009527777777777899,0.15451938271605284
0.12499999999999999,0.17321500000000001,-0.0097183333333335075,-0.34748864197530865,0.12499999999999999,0.170128,0.0083844444444448104,0.084818395061725838,0.12499999999999999,0.17270050000000001,-0.0020961111111113726,-0.21511604938271853,0.12499999999999999,0.17201449999999999,0.00095277777777766706,0.41350555555556262,0.12499999999999999,0.17098550000000001,0.0074316666666668363,0.023417160493826843
0.14999999999999999,0.17252899999999999,-0.016387777777777762,0.2250672839506194,0.14999999999999999,0.17047100000000001,0.0097183333333334156,0.067329629629624979,0.14999999999999999,0.17252899999999999,-0.0047638888888891359,-0.15477345679011989,0.14999999999999999,0.17218599999999998,0.00038111111111124629,0.8420438271605013,0.14999999999999999,0.17150000000000001,0.0028583333333332774,-0.13698827160494073
0.17499999999999999,0.17150000000000001,0.0099088888888889635,0.49777345679012353,0.17499999999999999,0.1706425,0.010099444444444354,0.082574074074075049,0.17499999999999999,0.17252899999999999,-0.0078127777777777744,-0.1367765432098704,0.17499999999999999,0.17029949999999999,0.056404444444444833,0.76455123456790464,0.17499999999999999,0.171157,-0.0036205555555556459,-0.15032716049382738
0.19999999999999998,0.1733865,0.021913888888888806,0.39402654320987712,0.19999999999999998,0.17081399999999999,0.01505388888888907,0.045098148148153022,0.19999999999999998,0.17252899999999999,-0.021532777777777529,0.20495308641975507,0.19999999999999998,0.175959,0.074888333333333681,-0.55557530864197802,0.19999999999999998,0.171157,-0.0053355555555555266,-0.11263950617284017
0.22499999999999998,0.1733865,0.016959444444444489,0.77598456790123704,0.22499999999999998,0.17150000000000001,0.015816111111111499,-0.1071345679012341,0.22499999999999998,0.17047100000000001,1.2287624621502383e-16,0.55832777777777487,0.22499999999999998,0.17630200000000001,0.014101111111111245,-1.3484981481481524,0.22499999999999998,0.17098550000000001,-0.0095277777777778416,-0.028795061728397908
0.24999999999999997,0.173901,0.029917222222222428,2.040214814814814,0.24999999999999997,0.17184300000000002,0.0081938888888891115,-0.21024629629630176,0.24999999999999997,0.1723575,0.024581666666666568,0.2307839506172826,0.24999999999999997,0.175959,-0.026868333333333241,-0.88417777777778095,0.24999999999999997,0.1706425,-0.00971833333333357,0.14757469135802384
0.27499999999999997,0.17184300000000002,0.1425355555555555,2.28857222222222,0.27499999999999997,0.17184300000000002,0.0020961111111111263,-0.20812901234568659,0.27499999999999997,0.1723575,0.024009999999999979,-0.51195925925925645,0.27499999999999997,0.17407250000000002,-0.03658666666666658,-0.042557407407411783,0.27499999999999997,0.17029949999999999,-0.0030488888888890058,0.31187592592592756
0.29999999999999999,0.18213299999999999,0.2120883333333333,0.044251234567903301,0.29999999999999999,0.17184300000000002,-0.00095277777777794429,-0.25047469135803263,0.29999999999999999,0.17458699999999999,-0.012767222222222025,-0.81007283950617148,0.29999999999999999,0.17355800000000002,-0.018483888888889102,0.49417407407407166,0.29999999999999999,0.170128,0.014672777777777637,0.15921975308642355
0.32499999999999996,0.18607750000000001,0.14539388888888918,-2.3412925925925951,0.32499999999999996,0.17184300000000002,-0.0076222222222227841,-0.35189259259259414,0.32499999999999996,0.17150000000000001,-0.042493888888888699,-0.15794938271605372,0.32499999999999996,0.1733865,-0.0030488888888890709,0.62417530864197879,0.32499999999999996,0.17167149999999998,0.010861666666666783,-0.21194012345678639
